년도,작물코드,작물분류,품목,수출입,물량(kg),금액(USD)
2019,1,식량작물, 보리,수출,9104,21031
2019,1,식량작물, 밀,수출,0,0
2019,1,식량작물, 옥수수(단옥수수 포함),수출,749.5,24696
2019,1,식량작물, 감자,수출,750007,345595
2019,1,식량작물, 두류,수출,222.2,3723
2019,1,식량작물, 조(밀리트),수출,4130.5,37775
2019,1,식량작물,수수,수출,0,8
2019,1,식량작물, 귀리,수출,2400,504
2019,6,사료작물,호밀,수출,0,30
2019,6,사료작물, 유채,수출,48,3216
2019,6,사료작물, 수단그라스,수출,0,0
2019,6,사료작물, 페스큐,수출,0,0
2019,6,사료작물, 켄터키블루그라스,수출,0,0
2019,6,사료작물, 라이그라스,수출,0,0
2019,6,사료작물, 티모디그래스,수출,0,0
2019,6,사료작물, 오차드그라스,수출,0,0
2019,6,사료작물, 클로버,수출,0,0
2019,6,사료작물, 루산(알팔파),수출,25,523
2019,6,사료작물, 기타(헤어리벳치 등),수출,880,2178
2019,4,화훼류, 초본용 화초,수출,30.8,4320
2019,2,채소류, 고추(착색단고추 포함),수출,16437.5,12169393
2019,2,채소류, 무,수출,281500.5,7564346
2019,2,채소류, 양배추,수출,43251,5764449
2019,2,채소류, 토마토,수출,8684.7,5149889
2019,2,채소류, 양파,수출,28171.4,3959943
2019,2,채소류, 파속,수출,5843.1,387782
2019,2,채소류, 멜론,수출,450.8,1021992
2019,2,채소류, 기타(배추 등),수출,249391,20997240
2019,9,기타, 산림수,수출,75.8,2676
2019,9,기타, 잔디,수출,0.8,6
2019,3,과수류, 과수 목,수출,30,86
2019,9,기타, 사탕무,수출,0.8,5
2019,9,기타,땅콩,수출,0,0
2019,9,기타, 면실,수출,0,0
2019,9,기타,연초,수출,0,0
2019,9,기타, 기타 종자류(포자 등),수출,6893.5,1059084
2019,9,기타,인삼,수출,0,0
2019,1,식량작물, 보리,수입,60.9,641
2019,1,식량작물, 밀,수입,0,0
2019,1,식량작물, 옥수수(단옥수수 포함),수입,354011.2,5526583
2019,1,식량작물, 감자,수입,0,0
2019,1,식량작물, 두류,수입,47191.5,132129
2019,1,식량작물, 조(밀리트),수입,9198.8,28771
2019,1,식량작물,수수,수입,1876.5,9703
2019,1,식량작물, 귀리,수입,836804.5,1074615
2019,6,사료작물,호밀,수입,3003640,4398495
2019,6,사료작물, 유채,수입,0,0
2019,6,사료작물, 수단그라스,수입,963186,3893125
2019,6,사료작물, 페스큐,수입,215352.9,739550
2019,6,사료작물, 켄터키블루그라스,수입,146378.6,840021
2019,6,사료작물, 라이그라스,수입,6200196.6,14184874
2019,6,사료작물, 티모디그래스,수입,13110.8,46862
2019,6,사료작물, 오차드그라스,수입,39694.5,254643
2019,6,사료작물, 클로버,수입,26397,95284
2019,6,사료작물, 루산(알팔파),수입,27817.2,110925
2019,6,사료작물, 기타(헤어리벳치 등),수입,1303800.1,4531200
2019,4,화훼류, 초본용 화초,수입,233985.6,5704272
2019,2,채소류, 고추(착색단고추 포함),수입,39835.6,11823649
2019,2,채소류, 무,수입,853238.3,10344097
2019,2,채소류, 양배추,수입,44049.2,2659852
2019,2,채소류, 토마토,수입,6918.1,9651643
2019,2,채소류, 양파,수입,43626.6,12581997
2019,2,채소류, 파속,수입,85638.5,4009540
2019,2,채소류, 멜론,수입,2490.3,422413
2019,2,채소류, 기타(배추 등),수입,987787.6,25548116
2019,9,기타, 산림수,수입,42879.2,527966
2019,9,기타, 잔디,수입,614754,2200778
2019,3,과수류, 과수 목,수입,72914.4,175417
2019,9,기타, 사탕무,수입,162.5,7474
2019,9,기타,땅콩,수입,19408.9,34396
2019,9,기타, 면실,수입,0,13
2019,9,기타,연초,수입,160.3,125576
2019,9,기타, 기타 종자류(포자 등),수입,425877.7,4558534
2019,9,기타,인삼,수입,0.4,59
2018,1,식량작물, 보리,수출,8469,25745
2018,1,식량작물, 밀,수출,9,764
2018,1,식량작물, 옥수수(단옥수수 포함),수출,17.3,1152
2018,1,식량작물, 감자,수출,880622,415453
2018,1,식량작물, 두류,수출,1506,14777
2018,1,식량작물, 조(밀리트),수출,21856.2,45866
2018,1,식량작물, 귀리,수출,1159,4567
2018,6,사료작물, 유채,수출,0,0
2018,6,사료작물, 수단그라스,수출,0,0
2018,6,사료작물, 페스큐,수출,0,0
2018,6,사료작물, 켄터키블루그라스,수출,0,0
2018,6,사료작물, 라이그라스,수출,0,0
2018,6,사료작물, 티모디그래스,수출,0,0
2018,6,사료작물, 오차드그라스,수출,0,0
2018,6,사료작물, 클로버,수출,0,0
2018,6,사료작물, 루산(알팔파),수출,100,70
2018,6,사료작물, 기타(헤어리벳치 등),수출,6,26
2018,4,화훼류, 초본용 화초,수출,61.9,11321
2018,2,채소류, 고추(착색단고추 포함),수출,14895.6,10638612
2018,2,채소류, 무,수출,261750,8144154
2018,2,채소류, 양배추,수출,45331.2,5392977
2018,2,채소류, 토마토,수출,5779,4833600
2018,2,채소류, 양파,수출,23016.7,3634251
2018,2,채소류, 파속,수출,8030.4,407854
2018,2,채소류, 멜론,수출,151.2,547893
2018,2,채소류, 기타(배추 등),수출,209615.8,17166788
2018,3,과수류, 과수 목,수출,62.2,3778
2018,9,기타, 산림수,수출,80,416
2018,9,기타, 잔디,수출,0,0
2018,9,기타, 면실,수출,0,0
2018,9,기타, 사탕무,수출,7.5,500
2018,9,기타, 인삼,수출,0,0
2018,9,기타, 기타 종자류(포자 등),수출,5375.3,1006815
2018,1,식량작물, 보리,수입,95,937
2018,1,식량작물, 밀,수입,14.8,74
2018,1,식량작물, 옥수수(단옥수수 포함),수입,427335.6,6651488
2018,1,식량작물, 조(밀리트),수입,1073005,605707
2018,1,식량작물, 수수,수입,4500.1,27403
2018,1,식량작물, 귀리,수입,723005,943993
2018,1,식량작물, 감자,수입,0,0
2018,1,식량작물, 두류,수입,58324.5,138975
2018,6,사료작물, 호밀,수입,2999324,4174995
2018,6,사료작물, 유채,수입,22000,25115
2018,6,사료작물, 페스큐,수입,215182.3,685030
2018,6,사료작물, 켄터키블루그라스,수입,188190.6,1054983
2018,6,사료작물, 라이그라스,수입,1225336.4,2843265
2018,6,사료작물, 수단그라스,수입,1121810.7,4394312
2018,6,사료작물, 루산(알팔파),수입,17535.1,79294
2018,6,사료작물, 클로버,수입,14821.1,66169
2018,6,사료작물, 티모시그라스,수입,8040,31710
2018,6,사료작물, 오차드그라스,수입,48640.6,324372
2018,6,사료작물, 기타(헤어리벳치 등),수입,6043988.7,15469955
2018,4,화훼류, 초본용 화초,수입,258721.9,6017710
2018,2,채소류, 고추(착색단고추 포함),수입,29454.2,11931209
2018,2,채소류, 무,수입,808667.3,8037060
2018,2,채소류, 양배추,수입,81917,4153345
2018,2,채소류, 토마토,수입,6782.3,11256734
2018,2,채소류, 양파,수입,53184.2,14594410
2018,2,채소류, 파속,수입,68742.5,3898764
2018,2,채소류, 멜론,수입,1733.4,413947
2018,2,채소류, 기타(배추 등),수입,1040475.7,21548911
2018,3,과수류, 과수 목,수입,60237.7,235307
2018,9,기타, 산림수,수입,34382.7,322183
2018,9,기타, 잔디,수입,488372.5,1727809
2018,9,기타, 사탕무,수입,61.7,5465
2018,9,기타, 땅콩,수입,30235.3,65376
2018,9,기타, 면실,수입,21.1,771
2018,9,기타, 연초,수입,16.1,111262
2018,9,기타, 기타 종자류(포자 등),수입,703549.5,4907701
2018,9,기타, 인삼,수입,0,0
2017,1,식량작물, 보리,수출,2323.2,6554
2017,1,식량작물, 밀,수출,18,1452
2017,1,식량작물, 옥수수(단옥수수 포함),수출,1013,16373
2017,1,식량작물, 조(밀리트),수출,57782.5,85458
2017,1,식량작물, 수수,수출,0,0
2017,1,식량작물, 귀리,수출,568,3175
2017,1,식량작물, 감자,수출,653691.4,404060
2017,1,식량작물, 두류,수출,1629.2,9438
2017,6,사료작물, 호밀,수출,0,0
2017,6,사료작물, 유채,수출,16,58
2017,6,사료작물, 페스큐,수출,45.4,332
2017,6,사료작물, 켄터키블루그라스,수출,113.4,1119
2017,6,사료작물, 라이그라스,수출,69.5,276
2017,6,사료작물, 수단그라스,수출,0,0
2017,6,사료작물, 루산(알팔파),수출,0,0
2017,6,사료작물, 클로버,수출,0,0
2017,6,사료작물, 티모시그라스,수출,0,0
2017,6,사료작물, 오차드그라스,수출,0.2,6
2017,6,사료작물, 기타(헤어리벳치 등),수출,900,261
2017,4,화훼류, 초본용 화초,수출,203.8,85646
2017,2,채소류, 고추,수출,24749.8,13619600
2017,2,채소류, 무,수출,255677.7,10724260
2017,2,채소류, 양배추,수출,59170.6,7118375
2017,2,채소류, 토마토,수출,5367.1,3181359
2017,2,채소류, 양파,수출,40752.3,5151518
2017,2,채소류, 파속,수출,5431.9,269305
2017,2,채소류, 멜론,수출,98,358733
2017,2,채소류, 기타(배추 등),수출,224634.6,17349491
2017,3,과수류, 과수 목,수출,51.2,7102
2017,9,기타, 산림수,수출,69,6245
2017,9,기타, 잔디,수출,0,0
2017,9,기타, 인삼,수출,0.6,5
2017,9,기타, 연초,수출,0,0
2017,9,기타, 사탕무,수출,0,0
2017,9,기타, 땅콩,수출,0,0
2017,9,기타, 면실,수출,0,0
2017,9,기타, 기타 종자류(포자 등),수출,1506.8,142112
2017,1,식량작물, 보리,수입,137.1,1220
2017,1,식량작물, 밀,수입,24.1,291
2017,1,식량작물, 옥수수(단옥수수 포함),수입,374005.1,5242072
2017,1,식량작물, 조(밀리트),수입,1043005.3,608665
2017,1,식량작물, 수수,수입,4238.5,28180
2017,1,식량작물, 귀리,수입,501873.4,660264
2017,1,식량작물, 감자,수입,0,0
2017,1,식량작물, 두류,수입,39802.1,111109
2017,6,사료작물, 호밀,수입,2527840.5,3140684
2017,6,사료작물, 유채,수입,1,7
2017,6,사료작물, 페스큐,수입,275965.9,691847
2017,6,사료작물, 켄터키블루그라스,수입,184598.4,1005070
2017,6,사료작물, 라이그라스,수입,1088735.3,2333872
2017,6,사료작물, 수단그라스,수입,601236,2613595
2017,6,사료작물, 루산(알팔파),수입,36010.6,163303
2017,6,사료작물, 클로버,수입,910,15834
2017,6,사료작물, 티모시그라스,수입,6614.8,16537
2017,6,사료작물, 오차드그라스,수입,47914.8,342183
2017,6,사료작물, 기타(헤어리벳치 등),수입,5890999.6,14446314
2017,4,화훼류, 초본용 화초,수입,311360.9,6379007
2017,2,채소류, 고추,수입,39792.5,11848616
2017,2,채소류, 무,수입,990988.1,9033127
2017,2,채소류, 양배추,수입,50327.6,3076063
2017,2,채소류, 토마토,수입,5264.3,9719114
2017,2,채소류, 양파,수입,44042.6,13057644
2017,2,채소류, 파속,수입,51803.8,2394287
2017,2,채소류, 멜론,수입,1493.7,253210
2017,2,채소류, 기타(배추 등),수입,988722.8,24097047
2017,3,과수류, 과수 목,수입,80820.2,360305
2017,9,기타, 산림수,수입,33324.6,237935
2017,9,기타, 잔디,수입,484658.7,1543993
2017,9,기타, 인삼,수입,0,0
2017,9,기타, 연초,수입,146.6,120433
2017,9,기타, 사탕무,수입,30.5,2010
2017,9,기타, 땅콩,수입,1002,3023
2017,9,기타, 면실,수입,55.9,1873
2017,9,기타, 기타 종자류(포자 등),수입,535431.3,2343059
